City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Benghazi,LY,32.1167,20.0667,61.95,75,99,8.28,1611619949
Chak Jhumra,PK,31.5678,73.1835,47.93,48,0,2.46,1611619949
Matadi,CD,-5.8167,13.45,75.76,88,75,1.66,1611619949
Genhe,CN,50.7833,121.5167,-12.14,88,100,3.27,1611619949
Camacha,PT,33.0833,-16.3333,59.0,94,20,3.44,1611619949
Harper,LR,4.375,-7.7169,77.97,86,0,7.63,1611619949
Baoning,CN,25.3378,110.026,48.2,81,90,2.24,1611619949
Calvinia,ZA,-31.4707,19.776,69.13,37,0,5.03,1611619949
Knysna,ZA,-34.0363,23.0471,59.0,94,0,4.61,1611619949
Kudahuvadhoo,MV,2.6708,72.8944,81.14,79,100,15.21,1611619950
Barcelos,PT,41.5388,-8.6151,57.2,100,90,4.59,1611619693
Nurota,UZ,40.5614,65.6886,26.6,86,7,6.91,1611619950
Santa Rosa,PH,14.3122,121.1114,80.01,94,75,2.3,1611619950
Agadez,NE,19.75,10.25,57.13,28,0,5.7,1611619950
Iwaki,JP,37.05,140.8833,46.0,100,40,3.44,1611619950
Río Gallegos,AR,-51.6226,-69.2181,53.6,32,75,31.07,1611619879
Moranbah,AU,-22.0016,148.0466,82.51,56,100,10.67,1611619950
Qui Nhon,VN,13.7667,109.2333,69.01,85,91,8.63,1611619692
Adrar,MR,20.5022,-10.0711,67.26,21,41,9.08,1611619950
Coronado,US,32.6859,-117.1831,54.0,54,75,31.07,1611619951
Ahipara,NZ,-35.1667,173.1667,74.1,62,50,7.78,1611619951
Iwanai,JP,42.9744,140.5089,27.97,95,71,5.08,1611619951
Husavik,IS,66.0449,-17.3389,23.0,86,90,3.44,1611619951
Diffa,NE,13.3154,12.6113,67.86,22,79,9.8,1611619951
Nur-Sultan,KZ,51.1801,71.446,17.6,86,90,8.95,1611619951
Goderich,CA,43.7501,-81.7165,30.2,80,98,4.61,1611619951
Blythe,US,33.6103,-114.5964,51.8,46,20,24.16,1611619951
Severo-Yeniseyskiy,RU,60.3725,93.0408,-47.2,79,33,0.36,1611619951
Kumul,CN,42.8,93.45,15.44,80,68,2.35,1611619952
Matara,LK,5.9485,80.5353,70.18,90,99,7.0,1611619878
Kununurra,AU,-15.7667,128.7333,77.0,100,98,6.91,1611619952
Ukiah,US,39.1502,-123.2078,46.4,53,1,12.66,1611619720
Nema,RU,57.5067,50.5011,26.2,98,100,9.53,1611619952
Kokkola,FI,63.8385,23.1307,28.99,100,75,1.14,1611619952
Qinhuangdao,CN,39.9317,119.5883,31.03,79,0,4.25,1611619952
Burnie,AU,-41.0667,145.9167,66.99,56,48,18.99,1611619952
Kaabong,UG,3.4836,34.1492,68.02,56,43,8.99,1611619953
La Rioja,ES,42.25,-2.5,41.0,93,0,3.44,1611619953
Nyurba,RU,63.2842,118.3319,-48.64,76,7,3.02,1611619953
Al Bardīyah,LY,31.7561,25.0865,60.57,38,98,12.88,1611619953
Buala,SB,-8.145,159.5921,86.16,61,92,8.79,1611619953
Galesong,ID,-5.3166,119.3661,77.0,88,20,4.61,1611619953
Rusnė,LT,55.2964,21.3758,36.0,93,75,6.71,1611619953
Nizhniy Kuranakh,RU,58.8353,125.4869,-38.97,79,98,3.29,1611619953
Santo Antônio do Sudoeste,BR,-26.0736,-53.7253,68.47,99,100,2.24,1611619954
Namatanai,PG,-3.6667,152.4333,85.46,65,68,4.16,1611619954
Jiazi,CN,22.8779,116.067,59.59,79,0,8.9,1611619954
Ribeira Brava,PT,32.65,-17.0667,59.0,86,23,5.01,1611619954
Richards Bay,ZA,-28.783,32.0377,68.58,87,96,6.98,1611619686
Concepción,CL,-36.827,-73.0498,64.4,68,0,17.27,1611619706
Antón Lizardo,MX,19.05,-95.9833,82.4,74,1,7.09,1611619954
Kahului,US,20.8947,-156.47,80.6,57,40,18.41,1611619806
Mokobeng,BW,-22.9965,27.6678,69.91,86,100,14.38,1611619954
Udachny,RU,66.4167,112.4,-38.67,80,73,1.5,1611619954
Moratuwa,LK,6.773,79.8816,71.6,83,0,9.22,1611619955
Padang,ID,-0.9492,100.3543,75.2,94,40,1.14,1611619705
Snezhnogorsk,RU,69.1933,33.2531,23.0,93,90,4.47,1611619955
Messaria,GR,36.3985,25.4459,61.0,55,100,21.99,1611619955
Indi,IN,17.1667,75.9667,68.34,38,3,7.36,1611619955
Cravo Norte,CO,6.3017,-70.2041,83.28,52,62,6.06,1611619955
Sibu,MY,2.3,111.8167,75.2,100,40,1.12,1611619955
Nieuw Amsterdam,SR,5.8833,-55.0833,79.0,83,40,2.3,1611619955
Santa Rita,BR,-7.1139,-34.9781,78.8,78,20,9.22,1611619955
Amahai,ID,-3.3333,128.9167,81.54,74,100,6.38,1611619953
Aksarka,RU,66.5606,67.7975,-16.2,88,100,8.05,1611619956
Leningradskiy,RU,69.3833,178.4167,-14.98,87,100,18.12,1611619956
Prince Rupert,CA,54.3161,-130.3201,37.4,80,40,2.3,1611619864
Altea,ES,38.5989,-0.0514,55.99,92,55,8.81,1611619956
Pankrushikha,RU,53.8319,80.3406,-17.25,88,87,5.91,1611619658
Yar-Sale,RU,66.8333,70.8333,-18.58,87,100,11.56,1611619956
Tūkrah,LY,32.5341,20.5791,59.18,79,100,8.03,1611619752
Alyangula,AU,-13.8483,136.4192,84.2,74,98,9.22,1611619956
Ţahţā,EG,26.7693,31.5021,50.0,76,0,5.75,1611619956
Shangrao,CN,28.4532,117.9686,48.7,86,99,5.99,1611619957
Constitución,CL,-35.3333,-72.4167,60.08,61,0,16.8,1611619957
Santa Cruz,MA,30.4202,-9.5982,53.6,100,0,6.91,1611619814
Nouadhibou,MR,20.931,-17.0347,66.2,68,0,16.11,1611619911
Juba,SS,4.8517,31.5825,75.54,46,2,0.45,1611619957
Cayenne,GF,4.9333,-52.3333,77.0,100,75,3.44,1611619957
Mmabatho,ZA,-25.85,25.6333,66.09,87,100,18.25,1611619957
Hanzhong,CN,33.0728,107.0303,36.75,75,88,0.47,1611619958
Gainesville,US,29.6516,-82.3248,70.0,78,1,9.22,1611619958
Penafiel,PT,41.2084,-8.2829,55.99,9,100,1.99,1611619958
Dunda,TZ,-8.1167,34.25,63.21,95,100,2.57,1611619958
Lillesand,NO,58.2488,8.3778,19.4,86,88,4.83,1611619958
Ilulissat,GL,69.2167,-51.1,6.8,56,0,10.36,1611619958
Kyzyl-Suu,KG,42.3414,78.0056,19.36,76,76,7.45,1611619958
Danshui,CN,22.7984,114.4672,66.0,80,8,2.17,1611619958
Ust-Kuyga,RU,70.0167,135.6,-44.28,74,74,3.15,1611619930
Grand Bank,CA,47.0999,-55.765,30.9,97,97,7.74,1611619959
Mosquera,CO,4.7059,-74.2302,59.0,58,20,4.61,1611619846
Vestmannaeyjar,IS,63.4427,-20.2734,33.91,87,100,36.57,1611619959
Dargaville,NZ,-35.9333,173.8833,73.0,69,89,7.11,1611619959
Menongue,AO,-14.6585,17.691,67.41,69,72,2.48,1611619959
Luwuk,ID,-0.9516,122.7875,76.37,81,100,3.62,1611619810
Dalby,AU,-27.1833,151.2667,77.0,50,0,8.05,1611619959
Assiut,EG,27.181,31.1837,50.0,87,0,11.5,1611619959
Batagay,RU,67.6333,134.6333,-44.45,76,72,1.14,1611619960
Estelle,US,29.8458,-90.1067,73.99,94,90,17.27,1611619960
Nakatsu,JP,33.5981,131.1883,51.8,81,75,9.22,1611619960
Bilibino,RU,68.0546,166.4372,-29.47,81,88,1.3,1611619960
Klyuchi,RU,52.2667,79.1667,-3.73,92,93,2.44,1611619960
Mayo,US,38.8876,-76.5119,36.0,55,90,4.61,1611619960
Staryy Nadym,RU,65.6118,72.6842,-20.22,87,100,18.28,1611619960
Pangkalanbuun,ID,-2.6833,111.6167,75.81,89,100,1.81,1611619960
Guarapari,BR,-20.6667,-40.4975,84.0,78,20,4.61,1611619960
Bonavista,CA,48.6499,-53.1147,30.0,93,100,4.61,1611619961
Gelibolu,TR,40.4103,26.6708,57.2,77,75,5.75,1611619961
Kargil,IN,34.5667,76.1,-12.15,74,17,0.92,1611619961
Thunder Bay,CA,48.4001,-89.3168,6.8,66,1,4.61,1611619961
Kenora,CA,49.8167,-94.4337,-7.01,77,75,3.44,1611619961
Tondano,ID,1.3038,124.9112,80.6,83,40,3.44,1611619961
Gamba,GA,-2.65,10.0,78.4,88,98,4.7,1611619961
Illescas,ES,40.1221,-3.847,55.0,87,40,14.97,1611619961
Maudaha,IN,25.6833,80.1167,46.18,57,0,3.51,1611619750
Humberto de Campos,BR,-2.5983,-43.4611,76.78,90,100,5.23,1611619961
Mount Isa,AU,-20.7333,139.5,89.6,43,89,2.3,1611619962
Ola,RU,59.5833,151.2833,-8.09,82,97,15.08,1611619962
Wewak,PG,-3.5534,143.6268,83.41,73,88,0.83,1611619763
Bījār,IR,35.8668,47.6051,27.01,75,28,4.83,1611619962
Okhotsk,RU,59.3833,143.3,-22.41,76,0,15.23,1611619962
Pringsewu,ID,-5.3582,104.9744,74.5,93,100,0.58,1611619879
São José da Coroa Grande,BR,-8.8978,-35.1478,77.58,82,99,7.99,1611619962
Puri,IN,19.8,85.85,73.4,94,90,2.3,1611619962
Narrabri,AU,-30.3167,149.7833,86.0,42,1,18.41,1611619962
Taksimo,RU,56.3444,114.8794,-11.76,84,100,3.4,1611619962
Rawson,AR,-43.3002,-65.1023,68.36,52,0,20.29,1611619962
Turek,PL,52.0155,18.5005,32.0,89,100,1.99,1611619963
Atambua,ID,-9.1061,124.8925,76.05,86,98,2.84,1611619963
Umarkot,PK,25.3616,69.7362,53.13,33,0,7.23,1611619773
Tayga,RU,56.06,85.6197,-40.0,66,40,1.61,1611619963
Key West,US,24.5557,-81.7826,73.4,83,1,5.75,1611619790
Mercaderes,CO,1.8009,-77.166,67.68,85,100,2.04,1611619963
Southampton,GB,50.904,-1.4043,37.0,100,48,8.28,1611619724
Neepawa,CA,50.2289,-99.4664,-7.6,71,75,9.22,1611619963
Strezhevoy,RU,60.7333,77.5889,-38.2,67,40,8.95,1611619963
Gore,NZ,-46.1028,168.9436,80.01,47,97,21.99,1611619963
Mawlaik,MM,23.6333,94.4167,55.71,70,0,0.47,1611619964
Olafsvik,IS,64.8945,-23.7142,27.73,91,100,31.0,1611619964
Puerto Escondido,MX,15.85,-97.0667,82.4,74,20,5.75,1611619964
Port Moresby,PG,-9.4431,147.1797,84.2,74,1,11.5,1611619964
Tegul'det,RU,57.3064,88.1667,-37.66,82,98,2.62,1611619964
Nanchang,CN,28.6833,115.8833,46.9,67,99,6.15,1611619892
Kaduqli,SD,11.0167,29.7167,72.66,21,19,11.39,1611619964
Elizabeth City,US,36.2946,-76.2511,42.8,87,90,8.05,1611619964
Valleyview,CA,55.0667,-117.2859,5.0,72,96,5.75,1611619964
Yurginskoye,RU,56.8189,67.3921,17.46,97,100,7.92,1611619965
Trindade,BR,-16.6494,-49.4889,73.4,83,90,4.61,1611619965
Conceição do Araguaia,BR,-8.2578,-49.2647,76.75,82,49,3.96,1611619963
Kushima,JP,31.4583,131.2333,53.6,100,75,6.91,1611619965
Mitsamiouli,KM,-11.3847,43.2844,80.38,66,68,4.79,1611619965
Gangtok,IN,27.3333,88.6167,39.9,64,15,3.98,1611619965
Payson,US,40.0444,-111.7321,37.99,48,1,6.91,1611619781
Dhidhdhoo,MV,6.8833,73.1,81.07,69,66,8.52,1611619965
Soria,ES,41.6667,-2.6667,35.01,100,47,4.0,1611619965
Kieta,PG,-6.2167,155.6333,86.88,57,55,6.49,1611619965
Kortkeros,RU,61.8106,51.5806,33.8,100,90,11.18,1611619966
Rafaela,AR,-31.2503,-61.4867,78.01,56,47,5.01,1611619813
Örnsköldsvik,SE,63.2909,18.7153,17.6,100,90,4.61,1611619966
Talakan,RU,50.3167,130.3667,3.18,91,100,11.21,1611619966
Zeya,RU,53.75,127.2667,-14.13,87,100,6.91,1611619966
Salé,MA,34.0389,-6.8166,55.4,100,75,3.44,1611619966
La Palma,US,33.8464,-118.0467,55.0,50,20,26.46,1611619966
Sirte,LY,31.2089,16.5887,62.8,46,92,11.1,1611619805
Inuvik,CA,68.3499,-133.7218,-7.6,77,92,3.44,1611619966
Chernyshevskiy,RU,63.0128,112.4714,-45.24,81,39,1.25,1611619931
Vogan,TG,6.3333,1.5333,78.6,79,54,9.71,1611619967
Sergeevka,KZ,53.88,67.4158,25.81,98,93,11.03,1611619967
Newport,GB,51.5877,-2.9984,36.0,94,55,3.33,1611619760
Ajdabiya,LY,30.7554,20.2263,57.63,72,100,3.29,1611619967
Opuwo,NA,-18.0607,13.84,67.12,77,59,4.45,1611619967
Westport,US,41.1415,-73.3579,33.01,43,1,6.91,1611619920
Changji,CN,44.0167,87.3167,6.8,85,75,2.24,1611619967
Grand-Santi,GF,4.25,-54.3833,73.33,92,27,2.64,1611619967
Aljezur,PT,37.3191,-8.8033,59.0,100,66,1.99,1611619968
Gaza,PS,31.5,34.4667,51.01,81,0,1.14,1611619968
Zhalantun,CN,48.0,122.7167,-4.41,85,0,3.87,1611619968
Simbahan,PH,6.3032,120.5836,81.93,79,93,10.04,1611619968
Guerrero Negro,MX,27.9769,-114.0611,60.3,57,52,23.15,1611619968
Takoradze,GH,4.8845,-1.7554,78.4,81,0,5.75,1611619968
Riyadh,SA,24.6877,46.7219,51.8,22,0,8.05,1611619672
Kâhta,TR,37.7855,38.6237,41.0,45,0,5.75,1611619968
Thibodaux,US,29.7958,-90.8229,73.0,92,99,10.0,1611619968
Coahuayana Viejo,MX,18.7333,-103.6833,75.2,73,75,4.54,1611619968
Labuhan,ID,-6.8844,112.2051,78.3,84,100,5.79,1611619968
Eureka,US,40.8021,-124.1637,46.99,71,53,6.62,1611619965
Shima,CN,24.4478,117.8111,55.4,88,1,2.24,1611619969
Porbandar,IN,21.6422,69.6093,60.58,33,4,12.03,1611619969
Bato,PH,13.3528,123.3677,77.16,79,91,1.9,1611619865
Campbell River,CA,50.0163,-125.2446,37.99,100,90,1.36,1611619860
Taoudenni,ML,22.6783,-3.9836,70.23,20,80,9.6,1611619969
Pucallpa,PE,-8.3791,-74.5539,75.2,94,75,3.44,1611619969
Dokka,NO,60.84,10.0618,13.51,83,1,4.21,1611619969
San Carlos,VE,9.6612,-68.5827,78.31,60,100,4.16,1611619969
Paragominas,BR,-2.9667,-47.4833,73.92,96,100,1.83,1611619969
Tambura,SS,5.6,27.4667,71.8,43,5,1.72,1611619970
Aranos,NA,-24.1333,19.1167,77.34,52,92,2.39,1611619970
Touros,BR,-5.1989,-35.4608,78.8,83,40,6.91,1611619970
Khovd,MN,48.0056,91.6419,-1.08,63,100,0.69,1611619970
Togitsu,JP,32.8333,129.85,48.2,93,75,4.61,1611619970
Qasigiannguit,GL,68.8193,-51.1922,6.8,56,0,10.36,1611619970
Mpika,ZM,-11.8343,31.4529,60.44,91,100,1.74,1611619970
Loutrá,GR,39.0569,26.545,59.0,67,75,13.8,1611619970
Gīdam,IN,18.9833,81.4,60.66,64,25,1.81,1611619970
Paamiut,GL,61.994,-49.6678,22.41,83,100,9.75,1611619946
Nome,US,64.5011,-165.4064,-0.4,92,1,4.61,1611619971
Lensk,RU,60.7253,114.9278,-38.9,78,90,2.44,1611619971
Tamale,GH,9.4008,-0.8393,78.91,17,13,5.28,1611619971
Plérin,FR,48.5425,-2.7798,33.01,84,62,1.99,1611619971
